"LouwNida_Code","SemDom","SemDom_Name"
"57Q Lend, Loan, Interest, Borrow, Bank","6.8.5;6.8.5.3","Borrow;Owe"
"57R Owe, Debt, Cancel","6.8.5;6.8.5.3","Borrow;Owe"
"57S Be a Financial Burden","6.8.1.3","Poor"
"57T Keep Records","6.8.7","Accounting"
"57U Steal, Rob","6.8.9;6.8.9.1","Dishonest financial practices;Steal"
"58 Nature, Class, Example","8.3.5","Type, kind"
"58A Nature, Character","8.3.5.1","Nature, character"
"58B Appearance as an Outward Manifestation of Form","2.3.1.8","Appearance"
"58C Basic Principles or Features Defining the Nature of Something","8.3.5.1","Nature, character"
"58D Class, Kind","8.3.5","Type, kind"
"58E Same or Equivalent Kind or Class","8.3.5.2.1","Same"
"58F Different Kind or Class","8.3.5.2.3","Different"
"58G Distinctive, Unique","8.3.5.3.3","Unique"
"58H Unusual, Different From the Ordinary","8.3.5.3;8.3.5.3.2","Common;Unusual"
"58I Pattern, Model, Example, and Corresponding Representation","8.3.5.4","Pattern, model"
"58J Archetype, Corresponding Type","8.3.5.4","Pattern, model"
"58K New, Old","8.4.6.5;8.4.6.5.3;8.4.6.5.4","Age;New;Old, not new"
"59 Quantity","8.1","Quantity"
"59A Many, Few","8.1.3;8.1.3.1","Many, much;Plural"
"59B Much, Little","8.1.3;8.1.3.1;8.1.3.2","Few, little;Many, much;Plural"
"59C All, Any, Each, Every","8.1.5","All"
"59D Full, Empty","8.1.8;8.1.8.1","Empty;Full"
"59E Enough, Sufficient","8.1.7","Enough"
"59F Abundance, Excess, Sparing","8.1.3;8.1.3.1;8.1.7.1","Extra;Many, much;Plural"
"59G Increase, Decrease","8.1.4;8.1.4.2;8.1.4.3","Decrease;Increase;More"
"59H Add, Subtract","7.5.2.3","Add to something"
"59H Add, Subtract x","8.1.2;8.1.2.2","Add numbers;Count"
"5A Food","5.2","Food"
"5B Condiments","5.2.3.3;5.2.3.4","Cooking ingredients;Prepared food"
"6 Artifacts","6.7","Tool"
"60 Number","8.1.1","Number"
"60A Number, Countless","8.1.1","Number"
"60B One, Two, Three, Etc.","8.1.1.1","Cardinal numbers"
"60C First, Second, Third, Etc.","8.1.1.2","Ordinal numbers"
"60D Half, Third, Fourth","8.1.1.6","Fraction"
"60E Once, Twice, Three Times, Etc. x","8.1.1.3","Number of times"
"60F Double, Four Times As Much, Etc.","8.1.1.4","Multiples"
"60G Pair, Group","8.1.1.5","Numbered group"
"61 Sequence","8.4.5.1","Order, sequence"
"62 Arrange, Organize","7.5","Arrange"
"62A Put Together, Arrange","7.5","Arrange"
"62B Organize","7.5.5","Organize"
"63 Whole, Unite, Part, Divide","8.1.6","Whole, complete"
"63A Whole","8.1.6","Whole, complete"
